tempo,potencia
0,1.0400159228159e-07
1,1.0400064527276e-07
2,1.03876736187e-07
3,1.038539975731e-07
4,1.0350047152455e-07
5,1.0345563472965e-07
6,1.0286781782692e-07
7,1.0280030236697e-07
8,1.019708339627e-07
9,1.0187982358203e-07
10,1.0079914839199e-07
11,1.0068364666014e-07
12,9.9340682485273e-08
13,9.9199584355279e-08
14,9.7582546592976e-08
15,9.7414723816305e-08
16,9.5512081284969e-08
17,9.53164789157e-08
18,9.3118008382957e-08
19,9.2893748911345e-08
20,9.0391648506921e-08
21,9.0138139488463e-08
22,8.7328154474231e-08
23,8.7045194926035e-08
24,8.3927703796141e-08
25,8.3615584190085e-08
26,8.0196589541099e-08
27,7.985618000359e-08
28,7.6148147763785e-08
29,7.5780969159052e-08
30,7.1803462166369e-08
31,7.1411735137388e-08
32,6.7191793041875e-08
33,6.6778460829387e-08
34,6.2350687893612e-08
35,6.1919409833802e-08
36,5.7325745096406e-08
37,5.6880859067718e-08
38,5.2170018855893e-08
39,5.171647252197e-08
40,4.6943072491366e-08
41,4.6486324872018e-08
42,4.1709706433915e-08
43,4.1255603004858e-08
44,3.6538405890848e-08
45,3.609303194634e-08
46,3.1499569491371e-08
47,3.1069087782556e-08
48,2.6663593161847e-08
49,2.6254072754777e-08
50,2.2098892019716e-08
51,2.1716135829414e-08
52,1.7869946624816e-08
53,1.7519325146595e-08
54,1.4035458298174e-08
55,1.3721756673374e-08
56,1.0646691640296e-08
57,1.0373976404586e-08
58,7.7460714594199e-09
59,7.517582191594e-09
60,5.3660869646701e-09
61,5.1841566766091e-09
62,3.5285394039648e-09
63,3.3945459887471e-09
64,2.2441515420145e-09
65,2.1585010349159e-09
66,1.5125396764678e-09
67,1.4746805829803e-09
68,1.3225323679012e-09
69,1.3309989597207e-09
70,1.6528056145282e-09
71,1.7052869583979e-09
72,2.472792503315e-09
73,2.5662231135386e-09
74,3.743816825561e-09
75,3.8744842429213e-09
76,5.4203949110828e-09
77,5.5840592106126e-09
78,7.451647932062e-09
79,7.6436681327552e-09
80,9.7827678821835e-09
81,9.9982304420805e-09
82,1.2356483929321e-08
83,1.2590328917709e-08
84,1.511448135638e-08
85,1.5361622452578e-08
86,1.7998732285691e-08
87,1.8254167413553e-08
88,2.0952705268376e-08
89,2.1211615387585e-08
90,2.3922429087822e-08
91,2.4180263386243e-08
92,2.6857394316327e-08
93,2.7109940743965e-08
94,2.9711283896312e-08
95,2.9954724624067e-08
96,3.2442531002557e-08
97,3.2673482954222e-08
98,3.5014708478846e-08
99,3.5230249562103e-08
100,3.7396759115292e-08
101,3.7594441158078e-08
102,3.9563079900076e-08
103,3.9740929584069e-08
104,4.1493476162115e-08
105,4.1649985437727e-08
106,4.3173003288531e-08
107,4.3307110865354e-08
108,4.4591714557304e-08
109,4.4702780099232e-08
110,4.574433369758e-08
111,4.5832106325554e-08
112,4.6629870215425e-08
113,4.6694452844676e-08
114,4.7251194440977e-08
115,4.7293005365784e-08
116,4.7614587797648e-08
117,4.7634320796292e-08
118,4.7729282088491e-08
119,4.7727866164337e-08
120,4.7606999747771e-08
121,4.7585559457904e-08
122,4.7261505109612e-08
123,4.7221322267509e-08
124,4.6708174875784e-08
125,4.6650652254887e-08
126,4.5963594180358e-08
127,4.5890221695525e-08
128,4.5045182993342e-08
129,4.4957506700003e-08
130,4.3970856108303e-08
131,4.3870450236999e-08
132,4.2758718637776e-08
133,4.2647160774996e-08
134,4.1426797802533e-08
135,4.1305647238692e-08
136,3.9992810845966e-08
137,3.9863590036393e-08
138,3.8473968126016e-08
139,3.8338147150999e-08
140,3.6886809823006e-08
141,3.6745793686836e-08
142,3.5247074237809e-08
143,3.5102192812839e-08
144,3.3569595324765e-08
145,3.3422095723647e-08
146,3.1868226890486e-08
147,3.1719268035931e-08
148,3.0155790775937e-08
149,3.0006439931752e-08
150,2.8444046308398e-08
151,2.8295277336295e-08
152,2.6743678346522e-08
153,2.6596371458842e-08
154,2.5064301331375e-08
155,2.49192441202e-08
156,2.3414476886447e-08
157,2.3272366421987e-08
158,2.1801742668751e-08
159,2.1663188475122e-08
160,2.0232650351856e-08
161,2.0098178084405e-08
162,1.8712810811727e-08
163,1.8582866477124e-08
164,1.7246944780941e-08
165,1.7121899358002e-08
166,1.583893743081e-08
167,1.5719091766887e-08
168,1.4491895529889e-08
169,1.4377485403857e-08
170,1.3208206008021e-08
171,1.3099407265889e-08
172,1.1989594925338e-08
173,1.1886528609146e-08
174,1.0837186003502e-08
175,1.0739923406967e-08
176,9.751558021554e-09
177,9.6601256181912e-09
178,8.7328005099853e-09
179,8.6471847101009e-09
180,7.7805672944787e-09
181,7.7007189970526e-09
182,6.8941275452653e-09
183,6.8199664593035e-09
184,6.0724140797152e-09
185,6.0038327970153e-09
186,5.3140687454149e-09
187,5.2509365530735e-09
188,4.6174847793453e-09
189,4.5596512057686e-09
190,3.9808460967183e-09
191,3.9281441896141e-09
192,3.4021635115665e-09
193,3.3544128499635e-09
194,2.879307931146e-09
195,2.8363173768956e-09
196,2.4100405985791e-09
197,2.3716107950141e-09
198,1.9920404837863e-09
199,1.9579661113169e-09
200,1.6229289424814e-09
201,1.5930007423378e-09
202,1.3002917775652e-09
203,1.274298355889e-09
204,1.0216988474458e-09
205,9.9942827271505e-10
206,7.8472137223658e-10
207,7.6596257936146e-10
208,5.8694709200675e-10
209,5.7149110658814e-10
210,4.2599343192621e-10
211,4.1363442813939e-10
212,2.9951882759337e-10
213,2.9005503291093e-10
214,2.0523236057814e-10
215,1.9846682020538e-10
216,1.4090184958101e-10
217,1.3664306302288e-10
218,1.0436053691328e-10
219,1.0242297854314e-10
220,9.3512503535047e-11
221,9.3717038454108e-11
222,1.0633693886828e-10
223,1.0851114470721e-10
224,1.4089138422593e-10
225,1.44869788887e-10
226,1.9531406114031e-10
227,2.009383058172e-10
228,2.6782538825707e-10
229,2.7494432440826e-10
230,3.5672878290681e-10
231,3.6519851119889e-10
232,4.6041083605395e-10
233,4.7009469466688e-10
234,5.7734094213411e-10
235,5.8810945119526e-10
236,7.0607045836047e-10
237,7.1780122668626e-10
238,8.4523146147291e-10
239,8.578090612412e-10
240,9.9353516362165e-10
241,1.0068509780718e-09
242,1.1497700431574e-09
243,1.1637220918959e-09
244,1.3127997405403e-09
245,1.3272924865833e-09
246,1.4815607643953e-09
247,1.496504906644e-09
248,1.6550600479144e-09
249,1.6703723023387e-09
250,1.832372391336e-09
251,1.8479752637907e-09
252,2.0126378221325e-09
253,2.0284593753642e-09
254,2.1950589007211e-09
255,2.2110325178407e-09
256,2.3788979960963e-09
257,2.3949621424668e-09
258,2.5634745525867e-09
259,2.5795725378615e-09
260,2.748162366093e-09
261,2.7642421078464e-09
262,2.932386885553e-09
263,2.9484006757851e-09
264,3.1156225530528e-09
265,3.1315268286194e-09
266,3.2973901938568e-09
267,3.3131453117356e-09
268,3.4772544657894e-09
269,3.4928244838785e-09
270,3.654821375648e-09
271,3.6701738397528e-09
272,3.8297358688904e-09
273,3.844841606315e-09
274,4.0016794974372e-09
275,4.0165124175941e-09
276,4.1703681693137e-09
277,4.1849050715976e-09
278,4.3355499827696e-09
279,4.3497703718843e-09
280,4.4970031466401e-09
281,4.510889055502e-09
282,4.6545339879082e-09
283,4.6680698081697e-09
284,4.8079750467485e-09
285,4.8211473669356e-09
286,4.9571832587352e-09
287,4.9699807099507e-09
288,5.1020382234181e-09
289,5.1144513325168e-09
290,5.242440558013e-09
291,5.2544616081274e-09
292,5.3783103346256e-09
293,5.3899332328742e-09
294,5.5095855991132e-09
295,5.5208057513376e-09
296,5.6362209694533e-09
297,5.6470351617679e-09
298,5.7581863113038e-09
299,5.7685925982619e-09
300,5.8754654882769e-09
301,5.8854630874176e-09
302,5.9880551843331e-09
303,5.9976443769021e-09
304,6.0959637956516e-09
305,6.1051458332302e-09
306,6.1992103892281e-09
307,6.2079874060641e-09
308,6.297823725485e-09
309,6.3061986562576e-09
310,6.391841342121e-09
311,6.3998178449182e-09
312,6.4813086964673e-09
313,6.488891080737e-09
314,6.5662783636432e-09
315,6.5734715228675e-09
316,6.6468092878332e-09
317,6.6536186367217e-09
318,6.7229660840709e-09
319,6.729397500017e-09
320,6.7948183879638e-09
321,6.8008781565733e-09
322,6.8624402508722e-09
323,6.8681350153316e-09
324,6.9259095781239e-09
325,6.931246292202e-09
326,6.9853076079191e-09
327,6.9902934924197e-09
328,7.0407184286741e-09
329,7.0453609311157e-09
330,7.0922285326104e-09
331,7.096535289976e-09
332,7.139926403517e-09
333,7.1439052078901e-09
334,7.1839021366729e-09
335,7.1875609035689e-09
336,7.2242470890044e-09
337,7.227593828255e-09
338,7.261053557639e-09
339,7.2640963466762e-09
340,7.2944144851155e-09
341,7.2971614444847e-09
342,7.324423189581e-09
343,7.3268824605605e-09
344,7.3511731183677e-09
345,7.3533528425549e-09
346,7.3747576234631e-09
347,7.3766659241976e-09
348,7.3952697574337e-09
349,7.396914722936e-09
350,7.4128020884381e-09
351,7.4141917565516e-09
352,7.4274465330577e-09
353,7.4285888774859e-09
354,7.4392942057136e-09
355,7.4401971236446e-09
356,7.4484352835394e-09
357,7.4491065845669e-09
358,7.4549588856138e-09
359,7.4554062818597e-09
360,7.4589529655306e-09
361,7.4591840628823e-09
362,7.4605042163551e-09
363,7.4605265067411e-09
364,7.4596979870465e-09
365,7.459518841666e-09
366,7.4566182095047e-09
367,7.4562448729493e-09
368,7.4513473354366e-09
369,7.4507869206275e-09
370,7.4439662822904e-09
371,7.4432257661724e-09
372,7.4345543875552e-09
373,7.4336406074891e-09
374,7.4231893707597e-09
375,7.4221090215551e-09
376,7.40994730256e-09
377,7.4087069340985e-09
378,7.3949025803318e-09
379,7.3935085957281e-09
380,7.3781279097215e-09
381,7.3765865639837e-09
382,7.3596942916631e-09
383,7.3580116908001e-09
384,7.3396710143713e-09
385,7.3378531149221e-09
386,7.3181256498914e-09
387,7.3161782588221e-09
388,7.2951240547727e-09
389,7.2930528297181e-09
390,7.2707303745015e-09
391,7.2685408243192e-09
392,7.2450070513286e-09
393,7.2427045369297e-09
394,7.2180148351594e-09
395,7.2156045705922e-09
396,7.1898127972076e-09
397,7.1872998509688e-09
398,7.1604583461174e-09
399,7.157847642666e-09
400,7.1300072462973e-09
401,7.1273035677477e-09
402,7.0985136382144e-09
403,7.0957216261889e-09
404,7.0660300604273e-09
405,7.0631542180543e-09
406,7.0326074731442e-09
407,7.0296521671747e-09
408,6.9982952831145e-09
409,6.9952647461488e-09
410,6.9631413696753e-09
411,6.9600397024817e-09
412,6.9271921117854e-09
413,6.9240232856981e-09
414,6.8904924158979e-09
415,6.887260275281e-09
416,6.8530857445313e-09
417,6.8497940092967e-09
418,6.8150141454101e-09
419,6.8116664135791e-09
420,6.7763182810568e-09
421,6.7729180313584e-09
422,6.737037458732e-09
423,6.7335880532237e-09
424,6.6972096606188e-09
425,6.6937143473254e-09
426,6.6568715741656e-09
427,6.6533334897298e-09
428,6.6160586225049e-09
429,6.6124807948368e-09
430,6.5748049948734e-09
431,6.5711903458004e-09
432,6.5331436769662e-09
433,6.5294950248716e-09
434,6.4911064811645e-09
435,6.4874265436162e-09
436,6.448724076584e-09
437,6.4450154729401e-09
438,6.4060260188901e-09
439,6.4022912728867e-09
440,6.3630407798408e-09
441,6.3592823221498e-09
442,6.3197957765141e-09
443,6.3160159472761e-09
444,6.2763174001873e-09
445,6.2725184515094e-09
446,6.232631044836e-09
447,6.2288151432567e-09
448,6.1887611352263e-09
449,6.1849303641435e-09
450,6.1447311545753e-09
451,6.1408875166348e-09
452,6.1005636717607e-09
453,6.0967090912064e-09
454,6.0562803680617e-09
455,6.052416693042e-09
456,6.0119020634146e-09
457,6.0080310682477e-09
458,5.9674487421732e-09
459,5.9635721295672e-09
460,5.9229395783613e-09
461,5.9190589815917e-09
462,5.8783929604108e-09
463,5.8745099454506e-09
464,5.833826515379e-09
465,5.8299425829838e-09
466,5.7892571326396e-09
467,5.7853737203883e-09
468,5.7447009870452e-09
469,5.7408194713322e-09
470,5.7001735615607e-09
471,5.6962952595436e-09
472,5.6556896693651e-09
473,5.651815840866e-09
474,5.6112634754252e-09
475,5.6073953247842e-09
476,5.5669085175417e-09
477,5.5630471954272e-09
478,5.522637726871e-09
479,5.518784332043e-09
480,5.4784634479274e-09
481,5.4746190289561e-09
482,5.4343974580695e-09
483,5.4305630150087e-09
484,5.3904509864761e-09
485,5.3866274724933e-09
486,5.3466347326185e-09
487,5.3428230555805e-09
488,5.302958884235e-09
489,5.2991599082513e-09
490,5.2594331348147e-09
491,5.2556476817375e-09
492,5.216066700598e-09
493,5.2122955514814e-09
494,5.172868337102e-09
495,5.1691122336192e-09
496,5.1298463551779e-09
497,5.1261060010001e-09
498,5.0870086366109e-09
499,5.0832846987433e-09
500,5.0443626492669e-09
501,5.0406557593486e-09
502,5.0019154618015e-09
503,4.9982262173667e-09
504,4.9596737579319e-09
505,4.9560027236327e-09
506,4.9176438502886e-09
507,4.913991559083e-09
508,4.8758316938497e-09
509,4.8721986481524e-09
510,4.8342428989722e-09
511,4.8306295717714e-09
512,4.7928827440246e-09
513,4.7892895799647e-09
514,4.751756187633e-09
515,4.748183604063e-09
516,4.71086788055e-09
517,4.7073162685405e-09
518,4.6702221771536e-09
519,4.666691902482e-09
520,4.6298231465862e-09
521,4.6263145506901e-09
522,4.5896745835436e-09
523,4.5861879844443e-09
524,4.54978001872e-09
525,4.5463157119183e-09
526,4.5101427289228e-09
527,4.5067009882629e-09
528,4.4707657468597e-09
529,4.4673468253686e-09
530,4.4316518706123e-09
531,4.4282560013098e-09
532,4.3928036728016e-09
533,4.3894310694846e-09
534,4.3542235094529e-09
535,4.3508743674548e-09
536,4.315913528573e-09
537,4.3125880254971e-09
538,4.2778756784423e-09
539,4.2745739748708e-09
540,4.240111715632e-09
541,4.2368339558123e-09
542,4.2026232127565e-09
543,4.1993695252652e-09
544,4.1654115659637e-09
545,4.162182064346e-09
546,4.128478002176e-09
547,4.1252727855646e-09
548,4.091823586084e-09
549,4.0886427397996e-09
550,4.055449226906e-09
551,4.0522928230328e-09
552,4.0193556849147e-09
553,4.0162237828596e-09
554,3.9835435777412e-09
555,3.9804362247727e-09
556,3.9480133864631e-09
557,3.9449306182319e-09
558,3.9127654614806e-09
559,3.9097073025212e-09
560,3.8778000281914e-09
561,3.8747664924075e-09
562,3.8431171924644e-09
563,3.8401082835982e-09
564,3.808716945926e-09
565,3.8057326580068e-09
566,3.7745991710577e-09
567,3.7716394888405e-09
568,3.740763646115e-09
569,3.7378285454994e-09
570,3.7072100498734e-09
571,3.7042994983092e-09
572,3.6739379662017e-09
573,3.6710519230801e-09
574,3.6409468884785e-09
575,3.6380853055087e-09
576,3.6082362238443e-09
577,3.605399045417e-09
578,3.5758052973028e-09
579,3.5729924608412e-09
580,3.5436533556755e-09
581,3.5408647919719e-09
582,3.5117795714113e-09
583,3.509015204953e-09
584,3.4801830462563e-09
585,3.477442795539e-09
586,3.4488628147917e-09
587,3.4461465926215e-09
588,3.4178178478408e-09
589,3.415125561625e-09
590,3.3870470557489e-09
591,3.384378607776e-09
592,3.3565492915435e-09
593,3.3539045792532e-09
594,3.3263233539775e-09
595,3.32370227022e-09
596,3.2963679904556e-09
597,3.293770423742e-09
598,3.2666818998545e-09
599,3.2641077345967e-09
600,3.2372637352342e-09
601,3.2347128519765e-09
602,3.2081121064483e-09
603,3.2055843820911e-09
604,3.1792255826541e-09
605,3.1767208906666e-09
606,3.1506026947275e-09
607,3.1481209053543e-09
608,3.1222419375841e-09
609,3.1197829180432e-09
610,3.0941417724136e-09
611,3.0917053870868e-09
612,3.0663006288223e-09
613,3.0638867394383e-09
614,3.0387169068993e-09
615,3.0363253727098e-09
616,3.0113889791957e-09
617,3.0090196571433e-09
618,2.9843151926286e-09
619,2.9819679375109e-09
620,2.9574938703117e-09
621,2.9551685349349e-09
622,2.9309233133081e-09
623,2.928619748639e-09
624,2.9046018023189e-09
625,2.9023198576267e-09
626,2.8785275992999e-09
627,2.8762671222944e-09
628,2.852698949014e-09
629,2.8504597859793e-09
630,2.8271140805217e-09
631,2.8248960764413e-09
632,2.8017712086098e-09
633,2.7995742072894e-09
634,2.776668535161e-09
635,2.7744923793451e-09
636,2.7518042504675e-09
637,2.7496487819509e-09
638,2.7271765344904e-09
639,2.7250415942246e-09
640,2.7027835580635e-09
641,2.7006689862609e-09
642,2.6786234840515e-09
643,2.676529120283e-09
644,2.6546944684522e-09
645,2.6526201517416e-09
646,2.6309946614599e-09
647,2.628940230372e-09
648,2.607522208473e-09
649,2.6054875012032e-09
650,2.5842752510681e-09
651,2.5822601055226e-09
652,2.5612519279228e-09
653,2.5592561817981e-09
654,2.5384503757041e-09
655,2.536473866561e-09
656,2.5158687299124e-09
657,2.5139112952497e-09
658,2.4935051256917e-09
659,2.4915666030142e-09
660,2.4713576985998e-09
661,2.4694379254831e-09
662,2.4494245853462e-09
663,2.4475233995008e-09
664,2.4277039244939e-09
665,2.4258211638235e-09
666,2.4061938571282e-09
667,2.4043293597867e-09
668,2.3848925274953e-09
669,2.383046131942e-09
670,2.3637980836112e-09
671,2.3619696286618e-09
672,2.34290867784e-09
673,2.3410980027141e-09
674,2.3222224674419e-09
675,2.3204294118123e-09
676,2.3017376150994e-09
677,2.2999620191349e-09
678,2.2814522894129e-09
679,2.2796939938198e-09
680,2.2613646653725e-09
681,2.2596235114373e-09
682,2.2414729248062e-09
683,2.2397487544305e-09
684,2.2217752568055e-09
685,2.2200679125433e-09
686,2.2022698581259e-09
687,2.2005791832167e-09
688,2.1829549335674e-09
689,2.1812807719699e-09
690,2.1638286963358e-09
691,2.1621708927573e-09
692,2.1448893683805e-09
693,2.1432477683071e-09
694,2.1261351807191e-09
695,2.1245096304397e-09
696,2.1075643737352e-09
697,2.1059547203687e-09
698,2.0891751974655e-09
699,2.0875812889851e-09
700,2.0709659118666e-09
701,2.0693875971235e-09
702,2.0529347870666e-09
703,2.0513719158079e-09
704,2.0350801036015e-09
705,2.033532526493e-09
706,2.0174001526331e-09
707,2.0158677212757e-09
708,1.9998932361571e-09
709,1.9983758031047e-09
710,1.9825576671935e-09
711,1.9810550859716e-09
712,1.9653917699681e-09
713,1.9639038950837e-09
714,1.9483938800732e-09
715,1.9469205670335e-09
716,1.9315623446259e-09
717,1.9301034499478e-09
718,1.9148955224067e-09
719,1.913450903631e-09
720,1.8983917839919e-09
721,1.8969612996909e-09
722,1.8820495118696e-09
723,1.880633021662e-09
724,1.8658671005524e-09
725,1.8644644651076e-09
726,1.8498429566744e-09
727,1.8484540377219e-09
728,1.8339754990806e-09
729,1.8326001594195e-09
730,1.818263158907e-09
731,1.8169012624105e-09
732,1.8027043796523e-09
733,1.8013557912728e-09
734,1.7872976172404e-09
735,1.785962203018e-09
736,1.7720413400768e-09
737,1.7707189671391e-09
738,1.7569340290922e-09
739,1.7556245656614e-09
740,1.7419741777862e-09
741,1.7406774931817e-09
742,1.7271602922576e-09
743,1.7258762568974e-09
744,1.7124908912303e-09
745,1.7112193766343e-09
746,1.6979645060751e-09
747,1.6967053848645e-09
748,1.6835796808189e-09
749,1.6823328267205e-09
750,1.6693349721566e-09
751,1.6681002599993e-09
752,1.6552289494492e-09
753,1.6540062551664e-09
754,1.6412601947226e-09
755,1.6400493953507e-09
756,1.6274273026575e-09
757,1.6262282763351e-09
758,1.6137288805766e-09
759,1.612541506543e-09
760,1.6001635484254e-09
761,1.598987707019e-09
762,1.5867299387509e-09
763,1.5855655114069e-09
764,1.5734266966732e-09
765,1.5722735659213e-09
766,1.560252479856e-09
767,1.5591105293169e-09
768,1.5472059584698e-09
769,1.5460750728533e-09
770,1.5342858151573e-09
771,1.5331658802564e-09
772,1.5214907449866e-09
773,1.5203816476766e-09
774,1.5088194554101e-09
775,1.5077210836421e-09
776,1.4962706662147e-09
777,1.4951829090126e-09
778,1.4838431094712e-09
779,1.4827658569265e-09
780,1.4715355294792e-09
781,1.4704686727477e-09
782,1.4593466827121e-09
783,1.4582901140063e-09
784,1.4472753377581e-09
785,1.4462289503437e-09
786,1.4353202752572e-09
787,1.4342839634474e-09
788,1.4234802878396e-09
789,1.422453946989e-09
790,1.411754180059e-09
791,1.4107377065581e-09
792,1.4001407683247e-09
793,1.3991340595941e-09
794,1.3886388808335e-09
795,1.3876418353165e-09
796,1.3772473574965e-09
797,1.376259874656e-09
798,1.3659650498689e-09
799,1.3649870301771e-09
800,1.354790821074e-09
801,1.3538221660079e-09
802,1.3437235457271e-09
803,1.3427641577618e-09
804,1.3327621098599e-09
805,1.3318118924616e-09
806,1.3219054108416e-09
807,1.3209642684606e-09
808,1.3111523572989e-09
809,1.3102201953636e-09
810,1.3005018690376e-09
811,1.2995785939453e-09
812,1.2899528769594e-09
813,1.2890383960707e-09
814,1.2795043229793e-09
815,1.2785985446111e-09
816,1.2691551599445e-09
817,1.2682579933621e-09
818,1.2589043515489e-09
819,1.2580157069588e-09
820,1.2487508722493e-09
821,1.247870660792e-09
822,1.2386937071809e-09
823,1.2378218409235e-09
824,1.2287318520705e-09
825,1.2278682439988e-09
826,1.2188643131518e-09
827,1.2180088771625e-09
828,1.2090901070773e-09
829,1.208242757972e-09
830,1.1994082608335e-09
831,1.198568914309e-09
832,1.1898178116513e-09
833,1.188986384294e-09
834,1.180317806921e-09
835,1.1794942161979e-09
836,1.1709073041027e-09
837,1.170091468355e-09
838,1.1615853706408e-09
839,1.1607772090744e-09
840,1.1523510838745e-09
841,1.1515505165532e-09
842,1.1432035309488e-09
843,1.1424104787879e-09
844,1.1341418087289e-09
845,1.1333561934863e-09
846,1.125165023712e-09
847,1.1243867679799e-09
848,1.1162722919372e-09
849,1.115501319136e-09
850,1.1074627388998e-09
851,1.1066989732696e-09
852,1.0987354994632e-09
853,1.0979788660557e-09
854,1.0900897177701e-09
855,1.089340142442e-09
856,1.0815245471564e-09
857,1.0807819565616e-09
858,1.0730391500638e-09
859,1.072303471645e-09
860,1.0646326979521e-09
861,1.063903859934e-09
862,1.0563043712134e-09
863,1.055582302595e-09
864,1.0480533590854e-09
865,1.0473379896321e-09
866,1.039878859565e-09
867,1.0391701198023e-09
868,1.0317800793225e-09
869,1.0310779005267e-09
870,1.0237562336171e-09
871,1.0230605478092e-09
872,1.0158065462108e-09
873,1.0151172861484e-09
874,1.0079302492835e-09
875,1.0072473484543e-09
876,1.0001265833502e-09
877,9.9944997596426e-10
878,9.9239479717651e-10
879,9.9172441815849e-10
880,9.8473414769425e-10
881,9.8406993267683e-10
882,9.7714389991985e-10
883,9.764857852361e-10
884,9.6962332687186e-10
885,9.6897124954816e-10
886,9.621717094876e-10
887,9.615256072369e-10
888,9.5478833654382e-10
889,9.5414814775823e-10
890,9.4747250457433e-10
891,9.4683816831785e-10
892,9.4022351778933e-10
893,9.395949737911e-10
894,9.3304068799634e-10
895,9.3241787664449e-10
896,9.2592333452153e-10
897,9.2530619685388e-10
898,9.1887078412795e-10
899,9.1825926182906e-10
900,9.1188237094133e-10
901,9.1127640633178e-10
902,9.0495743636952e-10
903,9.0435697240149e-10
904,8.9809532902599e-10
905,8.9750030927604e-10
906,8.9129540465401e-10
907,8.9070577331615e-10
908,8.8455702604995e-10
909,8.8397272792955e-10
910,8.778795629888e-10
911,8.7730054349518e-10
912,8.7126239214806e-10
913,8.7068859728892e-10
914,8.6470489703493e-10
915,8.6413627340972e-10
916,8.5820646791209e-10
917,8.5764296270539e-10
918,8.5176650172499e-10
919,8.5120806270023e-10
920,8.4538440202903e-10
921,8.4483097752215e-10
922,8.3905957891899e-10
923,8.3851111783265e-10
924,8.3279144895615e-10
925,8.3224790075328e-10
926,8.2657943510021e-10
927,8.2604074979721e-10
928,8.2042296663632e-10
929,8.1988909479802e-10
930,8.1432147910923e-10
931,8.1379237184278e-10
932,8.0827441425143e-10
933,8.0775002319983e-10
934,8.022812199183e-10
935,8.0176149725441e-10
936,7.963413500177e-10
937,7.9582624843953e-10
938,7.9045426444505e-10
939,7.8994373716886e-10
940,7.8461942901764e-10
941,7.841134297724e-10
942,7.7883631540696e-10
943,7.7833479842948e-10
944,7.7310440107651e-10
